# reinj  reinj2  l_iter
-1.93746537079 3.1715844222 1
-0.839089306157 1.01388843992 11
-0.770570445288 0.917940739051 12
-0.779740602905 0.930667276129 12
-1.66149971098 2.47351538738 2
-0.953538713809 1.18113033698 9
-0.867387256788 1.05441801997 10
-0.88287526224 1.07677770972 10
-1.00630850347 1.26116746801 8
-1.86137718478 2.96247422496 1
-1.01701715172 1.27770597801 8
-1.36978376116 1.87552922606 4
-0.828076556376 0.998286059963 11
-0.771974409537 0.919885635919 12
-0.769456838555 0.916399019602 12
-0.80404453257 0.964531700958 11
-1.74125775758 2.65916844873 2
-0.772441430315 0.920532890726 12
-0.772915124272 0.921189521567 12
-0.780784008911 0.932118907296 12
1.8726386517 -1.49707451195 1
-1.54272360988 2.21597521374 3
-1.39521409616 1.92329554857 4
-1.8334197713 2.88899860949 1
-1.88485208291 3.0253778986 1
-1.72191345744 2.61301046142 2
-0.999307552482 1.25045462319 8
-1.77596768025 2.74380234981 2
-1.10871577576 1.4225417945 7
-0.921704652802 1.13364125679 9
-0.769051885371 0.915838594893 12
-0.815631122435 0.980755828673 11
-1.39190983442 1.91704004822 4
-1.96008422244 3.2368863923 1
-0.803377452852 0.963600434039 11
0.469645719204 -0.451197229751 17
-1.746097062 2.67084127134 2
-0.773796913464 0.922412192791 12
-0.80862355733 0.970932430661 11
-1.93803216455 3.17320341594 1
-0.833998528895 1.00666547863 11
-1.0291392316 1.29644897506 8
-0.836892604518 1.01076945356 11
-1.51414809361 2.15705004565 3
-0.790335854912 0.945442175955 11
-1.68395483245 2.52456208971 2
-1.90025765425 3.06737583821 1
-1.41076384333 1.95289395758 4
-1.2836904074 1.71884863291 5
-1.68055886182 2.51678656407 2
-1.99342278498 3.33543270431 1
-0.800025446073 0.958925530276 11
-1.02123919845 1.28422040723 8
-1.14825972313 1.48723342903 6
-1.89206327467 3.04495239235 1
-1.57266285734 2.27892295986 3
-0.778398118067 0.928800637041 12
-1.32332361839 1.79012135969 5
-0.941042870759 1.16239602576 9
-1.52159031532 2.17229111183 3
-1.26290598473 1.68216922689 5
-0.944508745226 1.16757995751 9
-1.31226289093 1.77003651513 5
-0.78229958754 0.934228758432 12
-1.54129613814 2.21300016491 3
-1.4359389167 2.00152606035 4
-0.769454667772 0.91639601508 12
-0.804108074457 0.964620423609 11
0.810138045261 -0.741185719843 10
-1.05785489144 1.34133314893 7
-1.97313182096 3.27500802495 1
-1.03391427494 1.30386519712 8
-0.769020401794 0.915795028704 12
-0.816673755095 0.9822203197 11
-1.31805653957 1.78053824878 5
-0.788805668341 0.9433036422 11
-1.63112628977 2.40544291813 2
-1.59247800401 2.32116499062 3
-1.18344966935 1.54591183398 6
-1.62236824843 2.38614431151 2
-1.08694679799 1.38751283937 7
-1.97397342851 3.27748645775 1
-1.05849539753 1.34234214987 7
-1.65367957973 2.45582336426 2
-1.19142698066 1.5593395988 6
-1.26752042422 1.69027186223 5
