-17 -99.7148
-17 -96.012
-17 -101.215
-17 -98.9125
-17 -93.3039
-17 -97.9133
-17 -98.2077
-17 -99.8683
-17 -96.3755
-17 -99.1946
-17 -94.5006
-17 -96.2093
-17 -99.8826
-17 -96.4083
-17 -99.0998
-17 -94.1468
-17 -96.8138
-17 -99.6628
-17 -95.8826
-17 -88.7727
-17 -100.823
-17 -98.254
-17 -100.162
-17 -97.0107
-17 -102.68
-17 -101.092
-17 -98.7105
-17 -91.9675
-17 -99.1181
-17 -94.2184
-17 -96.7006
-17 -99.1095
-17 -94.1848
-17 -96.7546
-17 -99.3285
-17 -94.9471
-17 -95.2289
-17 -94.3908
-17 -96.4097
-17 -99.096
-17 -94.1315
-17 -96.838
-17 -99.8312
-17 -96.2897
-17 -99.5093
-17 -95.4782
-17 -93.3617
-17 -97.8485
-17 -97.852
-17 -97.871
-17 -97.9765
-17 -98.553
-17 -89.8376
-17 -100.371
-17 -97.4264
-17 -95.2175
-17 -94.4301
-17 -96.3395
-17 -99.3162
-17 -94.9083
-17 -95.3274
-17 -94.0287
-17 -96.9929
-17 -101.781
-17 -99.7965
-17 -96.2084
-17 -99.8873
-17 -96.4191
-17 -99.0712
-17 -94.0317
-17 -96.9887
-17 -101.67
-17 -99.6283
-17 -95.7943
-17 -90.8106
-17 -99.8696
-17 -96.3784
-17 -99.1857
-17 -94.469
-17 -96.2679
-17 -99.6036
-17 -95.7303
-17 -91.5959
-17 -99.3822
-17 -95.1119
-17 -94.768
-17 -95.6603
-17 -92.2271
-17 -98.918
-17 -93.3324
-17 -97.8817
-17 -98.0352
-17 -98.8752
-17 -93.1034
-17 -98.1266
-17 -99.3881
-17 -95.1298
-17 -94.7137
-17 -95.78
-17 -91.0119
-16.994 -99.1574
-16.994 -94.3439
-16.994 -96.502
-16.994 -98.9252
-16.994 -93.3384
-16.994 -97.8815
-16.994 -98.0012
-16.994 -98.6553
-16.994 -91.3605
-16.994 -99.5413
-16.994 -95.5493
-16.994 -93.0115
-16.994 -98.2261
-16.994 -99.9448
-16.994 -96.5349
-16.994 -98.8943
-16.994 -93.1755
-16.994 -98.0578
-16.994 -98.9669
-16.994 -93.546
-16.994 -97.6415
-16.994 -96.6259
-16.994 -98.9228
-16.994 -93.3263
-16.994 -97.8948
-16.994 -98.074
-16.994 -99.0568
-16.994 -93.9475
-16.994 -97.1188
-16.994 -91.5891
-16.994 -99.3908
-16.994 -95.1197
-16.994 -94.7626
-16.994 -95.6859
-16.994 -92.0669
-16.994 -99.0479
-16.994 -93.9103
-16.994 -97.171
-16.994 -92.5356
-16.994 -98.6674
-16.994 -91.494
-16.994 -99.4537
-16.994 -95.3044
-16.994 -94.1405
-16.994 -96.8332
-16.994 -99.7536
-16.994 -96.0921
-16.994 -100.615
-16.994 -97.8722
-16.994 -97.9495
-16.994 -98.3727
-16.994 -101.001
-16.994 -98.5476
-16.994 -89.5529
-16.994 -100.503
-16.994 -97.6669
-16.994 -96.7799
-16.994 -99.4264
-16.994 -95.2252
-16.994 -94.4243
-16.994 -96.3606
-16.994 -99.2633
-16.994 -94.7162
-16.994 -95.7876
-16.994 -90.9901
-16.994 -99.7691
-16.994 -96.1292
-16.994 -100.369
-16.994 -97.4122
-16.994 -95.062
-16.994 -94.9326
-16.994 -95.2811
-16.994 -94.227
-16.994 -96.6961
-16.994 -99.0762
-16.994 -94.0278
-16.994 -97.0032
-16.994 -101.913
-16.994 -99.9852
-16.994 -96.624
-16.994 -98.9206
-16.994 -93.3148
-16.994 -97.9078
-16.994 -98.1455
-16.994 -99.462
-16.994 -95.3282
-16.994 -94.049
-16.994 -96.972
-16.994 -101.21
-16.994 -98.8946
-16.994 -93.1772
