-123.686903543 -123.363064624 -123.027793594
-123.363064624 -123.027793594 -122.680502497
-123.027793594 -122.680502497 -122.320373561
-122.680502497 -122.320373561 -121.94657336
-122.320373561 -121.94657336 -121.558185979
-121.94657336 -121.558185979 -121.154238791
-121.558185979 -121.154238791 -120.733555872
-121.154238791 -120.733555872 -120.294880559
-120.733555872 -120.294880559 -119.836799194
-120.294880559 -119.836799194 -119.357712727
-119.836799194 -119.357712727 -118.85584184
-119.357712727 -118.85584184 -118.329113146
-118.85584184 -118.329113146 -117.775135333
-118.329113146 -117.775135333 -117.191155458
-117.775135333 -117.191155458 -116.573916606
-117.191155458 -116.573916606 -115.91965638
-116.573916606 -115.91965638 -115.223811975
-115.91965638 -115.223811975 -114.480870967
-115.223811975 -114.480870967 -113.684048674
-114.480870967 -113.684048674 -112.824882604
-113.684048674 -112.824882604 -111.892539679
-112.824882604 -111.892539679 -110.872704276
-111.892539679 -110.872704276 -109.745931425
-110.872704276 -109.745931425 -108.484579576
-109.745931425 -108.484579576 -107.046927612
-108.484579576 -107.046927612 -105.364408428
-107.046927612 -105.364408428 -103.308240003
-105.364408428 -103.308240003 -100.569106774
-103.308240003 -100.569106774 -95.6393862562
-100.569106774 -95.6393862562 -95.9359874131
-95.6393862562 -95.9359874131 -95.2569176744
-95.9359874131 -95.2569176744 -96.6374348027
-95.2569176744 -96.6374348027 -92.4010557562
-96.6374348027 -92.4010557562 -99.5105399337
-92.4010557562 -99.5105399337 -88.4737239553
-99.5105399337 -88.4737239553 -101.272495908
-88.4737239553 -101.272495908 -97.2340220486
-101.272495908 -97.2340220486 -99.7595198361
-97.2340220486 -99.7595198361 -92.3613534771
-99.7595198361 -92.3613534771 -99.5361595212
-92.3613534771 -99.5361595212 -89.4007020633
-99.5361595212 -89.4007020633 -100.961379892
-89.4007020633 -100.961379892 -96.5842988051
-100.961379892 -96.5842988051 -92.7637519505
-96.5842988051 -92.7637519505 -99.2651978644
-92.7637519505 -99.2651978644 -100.234814131
-99.2651978644 -100.234814131 -94.640067071
-100.234814131 -94.640067071 -97.5185136412
-94.640067071 -97.5185136412 -98.9011429337
-97.5185136412 -98.9011429337 -98.1410157417
-98.9011429337 -98.1410157417 -92.1400222385
-98.1410157417 -92.1400222385 -99.6747237012
-92.1400222385 -99.6747237012 -91.631388943
-99.6747237012 -91.631388943 -99.9688150224
-91.631388943 -99.9688150224 -93.5828754904
-99.9688150224 -93.5828754904 -98.620852203
-93.5828754904 -98.620852203 -96.5357587074
-98.620852203 -96.5357587074 -93.05445684
