# d=-11.9 u_star=-98.1653768995 m=-1.01727035826 C=1.0348389818
# s  F2_minus_ustar
-1.65 -1.77910468491
-1.64835 -1.77712395438
-1.6467 -1.77515478409
-1.64505 -1.77318657246
-1.6434 -1.77121927603
-1.64175 -1.76925291038
-1.6401 -1.76728755287
-1.63845 -1.76532320145
-1.6368 -1.76335985404
-1.63515 -1.76139750854
-1.6335 -1.75943616284
-1.63185 -1.75747581488
-1.6302 -1.75551646261
-1.62855 -1.75355810386
-1.6269 -1.75160073665
-1.62525 -1.74964435884
-1.6236 -1.74768896838
-1.62195 -1.74573456313
-1.6203 -1.74378113236
-1.61865 -1.74182864989
-1.617 -1.73987713843
-1.61535 -1.73792659593
-1.6137 -1.73597702021
-1.61205 -1.73402840896
-1.6104 -1.7320762145
-1.60875 -1.73011107559
-1.6071 -1.72814683372
-1.60545 -1.72618313774
-1.6038 -1.72422036405
-1.60215 -1.72225851164
-1.6005 -1.72029757824
-1.59885 -1.71833756135
-1.5972 -1.71637845917
-1.59555 -1.714420269
-1.5939 -1.71246298901
-1.59225 -1.71050661678
-1.5906 -1.70855115018
-1.58895 -1.70659658678
-1.5873 -1.70467762992
-1.58565 -1.70277233529
-1.584 -1.70068393957
-1.58235 -1.69872988056
-1.5807 -1.69677670431
-1.57905 -1.69482440948
-1.5774 -1.69287299483
-1.57575 -1.69092245862
-1.5741 -1.68897280015
-1.57245 -1.6870295857
-1.5708 -1.68509729403
-1.56915 -1.68316592939
-1.5675 -1.68123545706
-1.56585 -1.67930589973
-1.5642 -1.67737728528
-1.56255 -1.67544961097
-1.5609 -1.67352287491
-1.55925 -1.67159708387
-1.5576 -1.6696722369
-1.55595 -1.66774833305
-1.5543 -1.66582726929
-1.55265 -1.66390306774
-1.551 -1.66197973238
-1.54935 -1.66005726884
-1.5477 -1.65813567595
-1.54605 -1.65621495189
-1.5444 -1.65429509605
-1.54275 -1.65237610664
-1.5411 -1.65045798236
-1.53945 -1.64854072179
-1.5378 -1.64662432411
-1.53615 -1.64470878741
-1.5345 -1.64279407576
-1.53285 -1.64087952363
-1.5312 -1.63896587823
-1.52955 -1.63705313782
-1.5279 -1.63514130149
-1.52625 -1.63323036813
-1.5246 -1.63132040429
-1.52295 -1.62941149569
-1.5213 -1.62750353696
-1.51965 -1.62559650541
-1.518 -1.62369040024
-1.51635 -1.62178522022
-1.5147 -1.61988101571
-1.51305 -1.61797773212
-1.5114 -1.61607536617
-1.50975 -1.61417391656
-1.5081 -1.61227338239
