-123.686903543 -118.151554937 -112.24781482
-118.151554937 -112.24781482 -105.60290457
-112.24781482 -105.60290457 -95.728390539
-105.60290457 -95.728390539 -100.420855538
-95.728390539 -100.420855538 -96.35563215
-100.420855538 -96.35563215 -100.115567557
-96.35563215 -100.115567557 -96.8618820789
-100.115567557 -96.8618820789 -99.8395144772
-96.8618820789 -99.8395144772 -97.2593156691
-99.8395144772 -97.2593156691 -99.600874674
-97.2593156691 -99.600874674 -97.5670743369
-99.600874674 -97.5670743369 -99.4008663834
-97.5670743369 -99.4008663834 -97.8038884119
-99.4008663834 -97.8038884119 -99.2366927644
-97.8038884119 -99.2366927644 -97.985863468
-99.2366927644 -97.985863468 -99.1039008566
-97.985863468 -99.1039008566 -98.1257347972
-99.1039008566 -98.1257347972 -98.9975378995
-98.1257347972 -98.9975378995 -98.2334666488
-98.9975378995 -98.2334666488 -98.9129093918
-98.2334666488 -98.9129093918 -98.3165450278
-98.9129093918 -98.3165450278 -98.8460239958
-98.3165450278 -98.8460239958 -98.3807139476
-98.8460239958 -98.3807139476 -98.7932976272
-98.3807139476 -98.7932976272 -98.4303531124
-98.7932976272 -98.4303531124 -98.7518303999
-98.4303531124 -98.7518303999 -98.4688384813
-98.7518303999 -98.4688384813 -98.7193262803
-98.4688384813 -98.7193262803 -98.4986712405
-98.7193262803 -98.4986712405 -98.6938710241
-98.4986712405 -98.6938710241 -98.5218307423
-98.6938710241 -98.5218307423 -98.6739529359
-98.5218307423 -98.6739529359 -98.5398469355
-98.6739529359 -98.5398469355 -98.6583445212
-98.5398469355 -98.6583445212 -98.5538453978
-98.6583445212 -98.5538453978 -98.6461980382
-98.5538453978 -98.6461980382 -98.5647313371
-98.6461980382 -98.5647313371 -98.6367062202
-98.5647313371 -98.6367062202 -98.5731998851
-98.6367062202 -98.5731998851 -98.629303072
-98.5731998851 -98.629303072 -98.5797965897
-98.629303072 -98.5797965897 -98.6235564678
-98.5797965897 -98.6235564678 -98.5849079903
-98.6235564678 -98.5849079903 -98.6190583349
-98.5849079903 -98.6190583349 -98.5889132851
-98.6190583349 -98.5889132851 -98.6155582631
-98.5889132851 -98.6155582631 -98.5920036979
-98.6155582631 -98.5920036979 -98.6128306626
-98.5920036979 -98.6128306626 -98.5944041603
-98.6128306626 -98.5944041603 -98.610725919
-98.5944041603 -98.610725919 -98.5962870842
-98.610725919 -98.5962870842 -98.6090644997
-98.5962870842 -98.6090644997 -98.5977395761
-98.6090644997 -98.5977395761 -98.6077838962
-98.5977395761 -98.6077838962 -98.5988932287
-98.6077838962 -98.5988932287 -98.6067646558
-98.5988932287 -98.6067646558 -98.5997726403
-98.6067646558 -98.5997726403 -98.6059886342
-98.5997726403 -98.6059886342 -98.6004626017
-98.6059886342 -98.6004626017 -98.6053814628
-98.6004626017 -98.6053814628 -98.6010259033
-98.6053814628 -98.6010259033 -98.6048584165
-98.6010259033 -98.6048584165 -98.6014635203
-98.6048584165 -98.6014635203 -98.6044929325
-98.6014635203 -98.6044929325 -98.6018098589
-98.6044929325 -98.6018098589 -98.6041623851
-98.6018098589 -98.6041623851 -98.6021022171
-98.6041623851 -98.6021022171 -98.603904472
-98.6021022171 -98.603904472 -98.6023287233
-98.603904472 -98.6023287233 -98.6037228211
-98.6023287233 -98.6037228211 -98.602467241
-98.6037228211 -98.602467241 -98.6036017071
-98.602467241 -98.6036017071 -98.6025756707
-98.6036017071 -98.6025756707 -98.6035119981
-98.6025756707 -98.6035119981 -98.6026779473
-98.6035119981 -98.6026779473 -98.6033937171
-98.6026779473 -98.6033937171 -98.6027880266
-98.6033937171 -98.6027880266 -98.6033280654
-98.6027880266 -98.6033280654 -98.6028389057
-98.6033280654 -98.6028389057 -98.6032714178
-98.6028389057 -98.6032714178 -98.6028685455
-98.6032714178 -98.6028685455 -98.603245606
-98.6028685455 -98.603245606 -98.6028904736
-98.603245606 -98.6028904736 -98.603226265
-98.6028904736 -98.603226265 -98.6029319413
-98.603226265 -98.6029319413 -98.6031711626
-98.6029319413 -98.6031711626 -98.6029851171
-98.6031711626 -98.6029851171 -98.6031437924
-98.6029851171 -98.6031437924 -98.6030141075
-98.6031437924 -98.6030141075 -98.6031168797
-98.6030141075 -98.6031168797 -98.6030059469
-98.6031168797 -98.6030059469 -98.6031255582
-98.6030059469 -98.6031255582 -98.6029971528
-98.6031255582 -98.6029971528 -98.603131828
-98.6029971528 -98.603131828 -98.6029912251
-98.603131828 -98.6029912251 -98.6031440764
-98.6029912251 -98.6031440764 -98.6030038381
-98.6031440764 -98.6030038381 -98.6031076134
-98.6030038381 -98.6031076134 -98.603034743
-98.6031076134 -98.603034743 -98.6030771583
-98.603034743 -98.6030771583 -98.6030680218
-98.6030771583 -98.6030680218 -98.6030715981
-98.6030680218 -98.6030715981 -98.603046506
-98.6030715981 -98.603046506 -98.6030884141
-98.603046506 -98.6030884141 -98.603030258
-98.6030884141 -98.603030258 -98.6031035846
-98.603030258 -98.6031035846 -98.6030161993
-98.6031035846 -98.6030161993 -98.6031160871
-98.6030161993 -98.6031160871 -98.6030054733
-98.6031160871 -98.6030054733 -98.6031252631
-98.6030054733 -98.6031252631 -98.6030213556
-98.6031252631 -98.6030213556 -98.6030911291
