seed,d,clam,mean_l,max_l,std_l,N
1,-12,1,2,6.77919423006,106,4.62727936356,43536
2,-12,2,2,6.77536381345,110,4.47895174497,43635
3,-12,3,2,6.74461855198,100,4.5603729586,43715
4,-12,4,2,6.76544708928,118,4.51671972948,43649
5,-12,5,2,6.75951862464,193,4.60129820946,43625
6,-12,6,2,6.76274532308,88,4.50267843229,43565
7,-12,7,2,6.79567147358,123,4.45514441093,43479
8,-12,8,2,6.79935742972,149,4.62947919463,43575
9,-12,9,2,6.78323573315,115,4.62169735004,43545
10,-12,10,2,6.76661394219,91,4.43817844201,43623
11,-12,11,2,6.73490615641,93,4.50339284317,43743
12,-12,12,2,6.74997139784,101,4.58364395946,43703
13,-12,13,2,6.75514360911,184,4.66863594728,43695
14,-12,14,2,6.74121522694,98,4.43361597866,43712
15,-12,15,2,6.7769868156,120,4.59409493392,43688
16,-12,16,2,6.77607284571,95,4.46772513528,43599
17,-12,17,2,6.78822394709,123,4.56305305738,43546
18,-12,18,2,6.7820415662,99,4.52789508321,43545
19,-12,19,2,6.77290946153,121,4.55741764539,43661
20,-12,20,2,6.77939121871,114,4.6052408154,43661
