seed,d,clam,mean_l,max_l,std_l,N
1,-12.2,1,2,3.88894253984,63,3.11253457096,33136
2,-12.2,2,2,3.87469951923,68,3.02913286988,33280
3,-12.2,3,2,3.85531124558,65,2.98308269701,33382
4,-12.2,4,2,3.8486109448,53,2.92390124075,33404
5,-12.2,5,2,3.87507518345,69,2.94935530062,33252
6,-12.2,6,2,3.86812823289,59,3.00340008565,33252
7,-12.2,7,2,3.89776002883,59,3.0806619106,33304
8,-12.2,8,2,3.86772311763,64,2.97300173142,33256
9,-12.2,9,2,3.88239014547,56,3.03676303831,33203
10,-12.2,10,2,3.84076643541,90,2.98203037205,33297
11,-12.2,11,2,3.8655479906,65,3.01519989379,33194
12,-12.2,12,2,3.8538143217,65,2.99148337728,33348
13,-12.2,13,2,3.85525170354,57,2.94802342683,33313
14,-12.2,14,2,3.86357369778,68,3.00115358484,33366
15,-12.2,15,2,3.86682109443,58,2.9852853384,33241
16,-12.2,16,2,3.8639355595,61,2.98463215535,33271
17,-12.2,17,2,3.85919850997,68,2.94511938176,33288
18,-12.2,18,2,3.87651876519,66,3.04990910628,33333
19,-12.2,19,2,3.86870169552,63,2.95107957108,33382
20,-12.2,20,2,3.89972262422,57,3.05669059213,33168
