seed,d,clam,mean_l,max_l,std_l,N
1,-11.9,1,2,10.4063355117,260,7.78431779626,31063
2,-11.9,2,2,10.3398594216,178,7.57678378262,31157
3,-11.9,3,2,10.4090850557,167,7.63306982466,31062
4,-11.9,4,2,10.3294185414,234,7.65404687724,31249
5,-11.9,5,2,10.3368870621,176,7.473839753,31141
6,-11.9,6,2,10.4292259542,213,7.85133338004,30993
7,-11.9,7,2,10.3294908742,210,7.56527267118,31230
8,-11.9,8,2,10.4021480481,201,7.64078054371,31098
9,-11.9,9,2,10.3478525641,180,7.44919922585,31200
10,-11.9,10,2,10.4756207675,188,7.63918273405,31010
11,-11.9,11,2,10.3864718754,177,7.56008768173,31076
12,-11.9,12,2,10.3661872351,158,7.55332753075,31148
13,-11.9,13,2,10.3045552034,161,7.26440736645,31239
14,-11.9,14,2,10.3817732409,183,7.46735871391,31152
15,-11.9,15,2,10.4001285347,204,7.37951552209,31120
16,-11.9,16,2,10.3291350191,184,7.57971192888,31203
17,-11.9,17,2,10.3371757925,148,7.44002713754,31230
18,-11.9,18,2,10.3806229487,190,7.47992274001,31078
19,-11.9,19,2,10.2932604736,261,7.31926153715,31293
20,-11.9,20,2,10.2946380098,194,7.48724347543,31313
