seed,d,clam,mean_l,max_l,std_l,N
1,-11.82,1,2,20.4273596049,650,18.9312735464,18626
2,-11.82,2,2,20.1105249134,696,17.4731628124,18765
3,-11.82,3,2,20.3846277537,633,18.6514649803,18657
4,-11.82,4,2,20.3167236955,702,18.4463358963,18704
5,-11.82,5,2,20.2256582813,936,19.1159716032,18723
6,-11.82,6,2,20.2701737555,533,18.9161964033,18762
7,-11.82,7,2,20.2148769157,973,18.5037715726,18727
8,-11.82,8,2,20.2170385396,356,16.18340873,18734
9,-11.82,9,2,20.1412033349,464,16.834135326,18831
10,-11.82,10,2,20.3105057114,500,17.0588811369,18647
11,-11.82,11,2,20.3746779734,648,17.9089243488,18632
12,-11.82,12,2,20.3956456456,535,17.6942230125,18648
13,-11.82,13,2,20.3284796574,766,19.1127983411,18680
14,-11.82,14,2,20.0490403987,510,17.0720895632,18862
15,-11.82,15,2,20.1167189077,471,17.6118168117,18823
16,-11.82,16,2,20.4830184617,618,18.457562057,18579
17,-11.82,17,2,20.3197155232,616,17.5460578883,18701
18,-11.82,18,2,20.3563372718,620,17.9537158581,18620
19,-11.82,19,2,20.16623183,587,18.1398160718,18781
20,-11.82,20,2,20.2378741796,418,17.4858714139,18741
